package,wheel,has_sbom,sbom_count,sbom_files,sbom_valid,sbom_hash_mismatch,sbom_missing_from_wheel,sbom_missing_from_record,status,error
aiofiles,aiofiles-25.1.0-0-py3-none-any.whl,Yes,1,aiofiles-25.1.0.dist-info/aiofiles-25.1.0-0.spdx.json,1,0,,,OK,
amqp,amqp-5.3.1-0-py3-none-any.whl,Yes,1,amqp-5.3.1.dist-info/amqp-5.3.1-0.spdx.json,1,0,,,OK,
anyio,anyio-4.12.1-0-py3-none-any.whl,Yes,1,anyio-4.12.1.dist-info/anyio-4.12.1-0.spdx.json,1,0,,,OK,
apispec,apispec-6.9.0-0-py3-none-any.whl,Yes,1,apispec-6.9.0.dist-info/apispec-6.9.0-0.spdx.json,1,0,,,OK,
asttokens,asttokens-3.0.1-0-py3-none-any.whl,Yes,1,asttokens-3.0.1.dist-info/asttokens-3.0.1-0.spdx.json,1,0,,,OK,
async-lru,async_lru-2.1.0-0-py3-none-any.whl,Yes,1,async_lru-2.1.0.dist-info/async_lru-2.1.0-0.spdx.json,1,0,,,OK,
async-timeout,async_timeout-5.0.1-0-py3-none-any.whl,Yes,1,async_timeout-5.0.1.dist-info/async_timeout-5.0.1-0.spdx.json,1,0,,,OK,
attrs,attrs-25.4.0-0-py3-none-any.whl,Yes,1,attrs-25.4.0.dist-info/attrs-25.4.0-0.spdx.json,1,0,,,OK,
azure-common,azure_common-1.1.28-0-py2.py3-none-any.whl,Yes,1,azure_common-1.1.28.dist-info/azure_common-1.1.28-0.spdx.json,1,0,,,OK,
bidict,bidict-0.23.1-0-py3-none-any.whl,Yes,1,bidict-0.23.1.dist-info/bidict-0.23.1-0.spdx.json,1,0,,,OK,
billiard,billiard-4.2.4-0-py3-none-any.whl,Yes,1,billiard-4.2.4.dist-info/billiard-4.2.4-0.spdx.json,1,0,,,OK,
boltons,boltons-25.0.0-0-py3-none-any.whl,Yes,1,boltons-25.0.0.dist-info/boltons-25.0.0-0.spdx.json,1,0,,,OK,
build,build-1.4.0-0-py3-none-any.whl,Yes,1,build-1.4.0.dist-info/build-1.4.0-0.spdx.json,1,0,,,OK,
calver,calver-2025.10.20-0-py3-none-any.whl,Yes,1,calver-2025.10.20.dist-info/calver-2025.10.20-0.spdx.json,1,0,,,OK,
cattrs,cattrs-26.1.0-0-py3-none-any.whl,Yes,1,cattrs-26.1.0.dist-info/cattrs-26.1.0-0.spdx.json,1,0,,,OK,
cattrs,cattrs-25.3.0-0-py3-none-any.whl,Yes,1,cattrs-25.3.0.dist-info/cattrs-25.3.0-0.spdx.json,1,0,,,OK,
cloudpickle,cloudpickle-3.1.2-0-py3-none-any.whl,Yes,1,cloudpickle-3.1.2.dist-info/cloudpickle-3.1.2-0.spdx.json,1,0,,,OK,
colorlog,colorlog-6.10.1-0-py3-none-any.whl,Yes,1,colorlog-6.10.1.dist-info/colorlog-6.10.1-0.spdx.json,1,0,,,OK,
configargparse,configargparse-1.7.1-0-py3-none-any.whl,Yes,1,configargparse-1.7.1.dist-info/configargparse-1.7.1-0.spdx.json,1,0,,,OK,
configparser,configparser-7.2.0-0-py3-none-any.whl,Yes,1,configparser-7.2.0.dist-info/configparser-7.2.0-0.spdx.json,1,0,,,OK,
cython,cython-3.2.4-0-cp312-cp312-linux_x86_64.whl,Yes,1,cython-3.2.4.dist-info/cython-3.2.4-0.spdx.json,1,0,,,OK,
cython,cython-3.2.4-0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,Yes,1,cython-3.2.4.dist-info/cython-3.2.4-0.spdx.json,1,0,,,OK,
dacite,dacite-1.9.2-0-py3-none-any.whl,Yes,1,dacite-1.9.2.dist-info/dacite-1.9.2-0.spdx.json,1,0,,,OK,
defusedxml,defusedxml-0.8.0rc2-0-py2.py3-none-any.whl,Yes,1,defusedxml-0.8.0rc2.dist-info/defusedxml-0.8.0rc2-0.spdx.json,1,0,,,OK,
dill,dill-0.4.1-0-py3-none-any.whl,Yes,1,dill-0.4.1.dist-info/dill-0.4.1-0.spdx.json,1,0,,,OK,
diskcache,diskcache-5.6.3-0-py3-none-any.whl,Yes,1,diskcache-5.6.3.dist-info/diskcache-5.6.3-0.spdx.json,1,0,,,OK,
distro,distro-1.9.0-0-py3-none-any.whl,Yes,1,distro-1.9.0.dist-info/distro-1.9.0-0.spdx.json,1,0,,,OK,
ecdsa,ecdsa-0.19.1-0-py2.py3-none-any.whl,Yes,1,ecdsa-0.19.1.dist-info/ecdsa-0.19.1-0.spdx.json,1,0,,,OK,
emoji,emoji-2.15.0-0-py3-none-any.whl,Yes,1,emoji-2.15.0.dist-info/emoji-2.15.0-0.spdx.json,1,0,,,OK,
executing,executing-2.2.1-0-py2.py3-none-any.whl,Yes,1,executing-2.2.1.dist-info/executing-2.2.1-0.spdx.json,1,0,,,OK,
face,face-26.0.0-0-py3-none-any.whl,Yes,1,face-26.0.0.dist-info/face-26.0.0-0.spdx.json,1,0,,,OK,
fasteners,fasteners-0.20-0-py3-none-any.whl,Yes,1,fasteners-0.20.dist-info/fasteners-0.20-0.spdx.json,1,0,,,OK,
flit-core,flit_core-3.12.0-0-py3-none-any.whl,Yes,1,flit_core-3.12.0.dist-info/flit_core-3.12.0-0.spdx.json,1,0,,,OK,
funcy,funcy-2.0-0-py2.py3-none-any.whl,Yes,1,funcy-2.0.dist-info/funcy-2.0-0.spdx.json,1,0,,,OK,
gitdb,gitdb-4.0.11-0-py3-none-any.whl,Yes,1,gitdb-4.0.11.dist-info/gitdb-4.0.11-0.spdx.json,1,0,,,OK,
glom,glom-25.12.0-0-py3-none-any.whl,Yes,1,glom-25.12.0.dist-info/glom-25.12.0-0.spdx.json,1,0,,,OK,
google-pasta,google_pasta-0.2.0-0-py3-none-any.whl,Yes,1,google_pasta-0.2.0.dist-info/google_pasta-0.2.0-0.spdx.json,1,0,,,OK,
graphene,graphene-3.4.3-0-py2.py3-none-any.whl,Yes,1,graphene-3.4.3.dist-info/graphene-3.4.3-0.spdx.json,1,0,,,OK,
graphql-core,graphql_core-3.2.7-0-py3-none-any.whl,Yes,1,graphql_core-3.2.7.dist-info/graphql_core-3.2.7-0.spdx.json,1,0,,,OK,
graphql-relay,graphql_relay-3.2.0-0-py3-none-any.whl,Yes,1,graphql_relay-3.2.0.dist-info/graphql_relay-3.2.0-0.spdx.json,1,0,,,OK,
hatch-fancy-pypi-readme,hatch_fancy_pypi_readme-25.1.0-0-py3-none-any.whl,Yes,1,hatch_fancy_pypi_readme-25.1.0.dist-info/hatch_fancy_pypi_readme-25.1.0-0.spdx.json,1,0,,,OK,
hatch-vcs,hatch_vcs-0.5.0-0-py3-none-any.whl,Yes,1,hatch_vcs-0.5.0.dist-info/hatch_vcs-0.5.0-0.spdx.json,1,0,,,OK,
hatchling,hatchling-1.28.0-0-py3-none-any.whl,Yes,1,hatchling-1.28.0.dist-info/hatchling-1.28.0-0.spdx.json,1,0,,,OK,
humanfriendly,humanfriendly-10.0-0-py2.py3-none-any.whl,Yes,1,humanfriendly-10.0.dist-info/humanfriendly-10.0-0.spdx.json,1,0,,,OK,
idna,idna-3.11-0-py3-none-any.whl,Yes,1,idna-3.11.dist-info/idna-3.11-0.spdx.json,1,0,,,OK,
installer,installer-0.7.0-0-py3-none-any.whl,Yes,1,installer-0.7.0.dist-info/installer-0.7.0-0.spdx.json,1,0,,,OK,
invoke,invoke-2.2.1-0-py3-none-any.whl,Yes,1,invoke-2.2.1.dist-info/invoke-2.2.1-0.spdx.json,1,0,,,OK,
jsonlines,jsonlines-4.0.0-0-py3-none-any.whl,Yes,1,jsonlines-4.0.0.dist-info/jsonlines-4.0.0-0.spdx.json,1,0,,,OK,
jsonpatch,jsonpatch-1.33-0-py2.py3-none-any.whl,Yes,1,jsonpatch-1.33.dist-info/jsonpatch-1.33-0.spdx.json,1,0,,,OK,
jsonpointer,jsonpointer-3.0.0-0-py2.py3-none-any.whl,Yes,1,jsonpointer-3.0.0.dist-info/jsonpointer-3.0.0-0.spdx.json,1,0,,,OK,
jsonref,jsonref-1.1.0-0-py3-none-any.whl,Yes,1,jsonref-1.1.0.dist-info/jsonref-1.1.0-0.spdx.json,1,0,,,OK,
